cds_code,school,street,city,state,zip
37683386148837,"Regents of the University of California, San Diego Early Childhood Education Center",9224 Regents Road,La Jolla,CA,92037
,Regina Pacem Academy,14158 Cool Valley Road,Valley Center,CA,92082
37683386142822,Renaissance Village Academy,"10625 Scripps Ranch Blvd., Ste. A",San Diego,CA,92131
37756146147490,Royal Academy of Hebrew Education,32768 Via del Venado,Valley Center,CA,92025
37680316975650,Sacred Heart Parish School,706 C Avenue,Coronado,CA,92118
37683386975684,Saint Charles Borromeo Academy,2808 Cadiz Street,San Diego,CA,92110
37680806140081,Saint John School,1003 Encinitas Boulevard,Encinitas,CA,92024
37680236981047,Saint John's Episcopal School,760 First Avenue,Chula Vista,CA,91910
37737917090244,Saint Joseph Academy,500 Las Flores Drive,San Marcos,CA,92078
37679916975767,Saint Kieran Catholic School,1347 Camillo Way,El Cajon,CA,92021
37683386997969,Sam and Rose Stein Education Center,6145 Decena Drive,San Diego,CA,92120
37683387093966,Sam and Rose Stein Education Center - Transition Site,6145 Decena Drive,San Diego,CA,92120
37682216939326,San Diego Academy,2800 East Fourth Street,National City,CA,91950
37683387093115,San Diego Center for Children Academy,3002 Armstrong Street,San Diego,CA,92111
,San Diego Classical Academy,4786 Caminito Borrego,San Diego,CA,92130
37683387051360,San Diego French–American School,6550 Soledad Mountain Road,La Jolla,CA,92037
37680566907877,San Diego Jewish Academy,11860 Carmel Creek Road,San Diego,CA,92130
37684526151831,Sandalwood Academy,310 Paseo Marguerita,Vista,CA,92084
37683466927883,Santa Fe Christian Schools,838 Academy Drive,Solana Beach,CA,92075
37681976975908,Santa Sophia Academy,9806 San Juan Street,Spring Valley,CA,91977
37683386975924,School of the Madeleine,1875 Illion Street,San Diego,CA,92110
,Selah Groove Creative Arts & Enrichment Academy,5080 Bonita Rd. ste B,Bonita,CA,91902
37681976925861,Shepherd of the Hills Lutheran,9191 Fletcher Parkway,La Mesa,CA,91942
37683387100852,Sierra Academy of San Diego,6460 Boulder Lake Avenue,San Diego,CA,92119
37683386975890,Soille San Diego Hebrew Day,3630 Afton Road,San Diego,CA,92123
48705816144539,Son Valley Academy,5202 Via Tizon,Oceanside,CA,92057
37680236138150,South Bay Christian Academy,395 D Street,Chula Vista,CA,91910
37683386139455,Southern California Yeshiva High School,3410 Mt. Acadia Boulevard,San Diego,CA,92111
37683386992994,Springall Academy,6460 Boulder Lake Avenue,San Diego,CA,92119
37683386939409,St. Augustine High School,3266 Nutmeg Street,San Diego,CA,92104
37683956975692,St. Charles Elementary,929 18th Street,San Diego,CA,92154
37683386975700,St. Columba,3365 Glencolum Drive,San Diego,CA,92123
37683386975718,St. Didacus Parish School,4630 34th Street,San Diego,CA,92116
37684526975726,St. Francis of Assisi,525 West Vista Way,Vista,CA,92083
37682966138820,St. Gregory the Great Catholic School,15315 Stonebridge Parkway,San Diego,CA,92131
37683876975734,St. James Academy,623 South Nardo Avenue,Solana Beach,CA,92075
37682056975742,St. John of the Cross School,8175 Lemon Grove Way,Lemon Grove,CA,91945
37681976965552,St. Martin of Tours Academy,7708 El Cajon Boulevard,La Mesa,CA,91942
37680986975791,St. Mary School,130 East 13th Avenue,Escondido,CA,92025
37735696975817,St. Mary Star of the Sea Elementary,515 Wiconsin Avenue,Oceanside,CA,92054
37683386137277,St. Michael Academy,2637 Homedale Street,San Diego,CA,92139
37682966975833,St. Michael's School,15542 Pomerado Road,Poway,CA,92064
37735516975841,St. Patrick Catholic School,3820 Pio Pico Drive,Carlsbad,CA,92008
37683386975858,St. Patrick's Elementary,3014 Capps Street,San Diego,CA,92104
37683386965560,St. Paul's Lutheran,1376 Felspar Street,San Diego,CA,92109
37681147069065,St. Peter the Apostle Catholic School,400 South Stage Coach Lane,Fallbrook,CA,92028
37680236975866,St. Pius X,37 East Emerson St.,Chula Vista,CA,91911
37683386966113,St. Rita's School,5165 Imperial Avenue,San Diego,CA,92114
37680236975874,St. Rose of Lima School,"278 Alvarado Street, Unit 2",Chula Vista,CA,91910
37683386981054,St. Therese Academy,6046 Camino Rico,San Diego,CA,92120
37683386975882,St. Vincent de Paul,4061 Ibis Street,San Diego,CA,92103
37683386975932,Stella Maris Academy,7654 Herschel Avenue,La Jolla,CA,92037
37683386939433,Tabernacle Christian Academy,1765 Pentecost Way,San Diego,CA,92105
37682136939441,Tecate Christian,23945 Tecate Mission Road,Tecate,CA,91980
37683386206833,The Arch Academy,9445 Farnham Street Suite 101,San Diego,CA,92123
37682966132922,The Cambridge School,12855 Black Mountain Road,San Diego,CA,92129
37683386993166,The Children's School,2225 Torrey Pines Lane,La Jolla,CA,92037
37682960127308,The Koonings Center,12271 Oak Knoll Road,Poway,CA,92064
37683386202386,The Rock Academy,2277 Rosecrans Street,San Diego,CA,92106
37681146152086,The Rock Rose Village School,2809 South Mission Road,Fallbrook,CA,92028
37683387081631,The Waldorf School of San Diego,3547 Altadena Avenue,San Diego,CA,92105
,Tierrasanta Christian School,4762 Shields Street,San Diego,CA,92124
37683387100720,Torah High Schools of San Diego,9001 Towne Centre Drive,San Diego,CA,92122
37684526987002,Tri-City Christian Schools,302 North Emerald Drive,Vista,CA,92083
37681976913644,Trinity Christian School,3902 Kenwood Drive,Spring Valley,CA,91977
37683387085939,True Faith Academy,8354 Noeline Lane,San Diego,CA,92114
37683387078165,Urban Skills Center,2225 Camino del Rio South,San Diego,CA,92108
37737916930564,Valley Christian School,1350 Discovery Street,San Marcos,CA,92078
37684526138929,Village Gate Children's Academy,1613 Lake Drive,Cardiff,CA,92007
37683046146153,Vision International Academy,1115 D Street,Ramona,CA,92065
37684526975973,Vista Christian,290 North Melrose Drive,Vista,CA,92083
37684526142541,Vista Faith Academy,1543 Vale Terrace Drive,Vista,CA,92084
37684526200497,Vista Training Program,2683 Foothill Drive,Vista,CA,92084
37681976206205,Warren-Walker School/La Mesa,5150 Wilson Street,La Mesa,CA,91942
37683386991319,"Warren-Walker, Inc.",4605 Point Loma Avenue,San Diego,CA,92107
37681146954648,Zion Lutheran,1405 East Fallbrook Street,Fallbrook,CA,92028
